Module GINF2
Programmation Orientée Objet : Java
XML
Assurance contrôle qualité (ISO 9001)
Cycle de Vie Logiciel et Méthodes Agiles
Modélisation orientée objet UML
IHM
Optimisation et Qualité de Base de données
Administration et Sécurité des Bases de données
Administration systèmes
Programmation systèmes
Espagnol 2 & Allemand
Anglais professionnel
Introduction à J2EE
Programmation en C#
Gestion des données complexes
Cloud Computing & Infogérance
Traitement de l'image
Vision numérique
Programmation déclarative
Technique algorithmique avancée
Sécurité des systèmes
Cryptographie
Management de Projet
Projet collectif & stage
